dimArray, bubbleCasuale, bubbleCrescente, bubbleDecrescente, selecCasuale, selecCrescente, selecDecrescente, insCasuale, insCrescente, insDecrescente, shellCasuale, shellCrescente, shellDecrescente, quickCasuale, quickCrescente, quickDecrescentemergeCasuale, mergeCrescente, mergeDecrescente
10, 45, 9, 45, 45, 45, 45, 32, 18, 39, 27, 22, 27, 28, 25, 29, 22, 19, 15
20, 190, 19, 190, 190, 190, 190, 117, 38, 174, 82, 62, 80, 72, 66, 74, 62, 48, 40
30, 435, 29, 435, 435, 435, 435, 261, 58, 409, 139, 94, 138, 130, 109, 124, 112, 77, 71
40, 780, 39, 780, 780, 780, 780, 440, 78, 744, 225, 162, 216, 212, 167, 184, 166, 116, 100
50, 1225, 49, 1225, 1225, 1225, 1225, 679, 98, 1179, 296, 203, 263, 264, 224, 246, 221, 153, 133
60, 1770, 59, 1770, 1770, 1770, 1770, 929, 118, 1714, 395, 244, 357, 376, 274, 306, 286, 184, 172
70, 2412, 69, 2415, 2415, 2415, 2415, 1387, 138, 2349, 484, 353, 490, 503, 338, 376, 340, 227, 205
80, 3160, 79, 3160, 3160, 3160, 3160, 1713, 158, 3084, 612, 402, 548, 496, 408, 446, 411, 272, 240
90, 4005, 89, 4005, 4005, 4005, 4005, 1884, 178, 3919, 691, 454, 607, 715, 478, 518, 474, 317, 275
100, 4950, 99, 4950, 4950, 4950, 4950, 2663, 198, 4854, 777, 503, 668, 629, 543, 589, 539, 356, 316
